support,itemsets
0.18801313628899835,frozenset({'Beverages'})
0.5238095238095238,frozenset({'Fresh Foods'})
0.44499178981937604,frozenset({'Frozen & Refrigerated Items'})
0.08426630840423945,frozenset({'Household & Personal Care'})
0.4794745484400657,frozenset({'Other'})
0.503209434243917,frozenset({'Packaged Foods'})
0.09016271085236602,"frozenset({'Fresh Foods', 'Beverages'})"
0.07590685176892073,"frozenset({'Frozen & Refrigerated Items', 'Beverages'})"
0.01406926406926407,"frozenset({'Beverages', 'Household & Personal Care'})"
0.08318405732198836,"frozenset({'Other', 'Beverages'})"
0.08613225854605165,"frozenset({'Packaged Foods', 'Beverages'})"
0.21600238841618152,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods'})"
0.04134945514255859,"frozenset({'Fresh Foods', 'Household & Personal Care'})"
0.23380355276907,"frozenset({'Fresh Foods', 'Other'})"
0.24615614270786684,"frozenset({'Fresh Foods', 'Packaged Foods'})"
0.03474399164054336,"frozenset({'Frozen & Refrigerated Items', 'Household & Personal Care'})"
0.1993581131512166,"frozenset({'Frozen & Refrigerated Items', 'Other'})"
0.20730706075533661,"frozenset({'Frozen & Refrigerated Items', 'Packaged Foods'})"
0.0364606657710106,"frozenset({'Other', 'Household & Personal Care'})"
0.03832661591282281,"frozenset({'Packaged Foods', 'Household & Personal Care'})"
0.2257799671592775,"frozenset({'Packaged Foods', 'Other'})"
0.034855948649052095,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Beverages'})"
0.006232273473652784,"frozenset({'Fresh Foods', 'Beverages', 'Household & Personal Care'})"
0.037841468875951634,"frozenset({'Fresh Foods', 'Other', 'Beverages'})"
0.039371547992237646,"frozenset({'Fresh Foods', 'Packaged Foods', 'Beverages'})"
0.0050380653828929695,"frozenset({'Frozen & Refrigerated Items', 'Beverages', 'Household & Personal Care'})"
0.03127332437677265,"frozenset({'Frozen & Refrigerated Items', 'Other', 'Beverages'})"
0.03216898044484252,"frozenset({'Frozen & Refrigerated Items', 'Packaged Foods', 'Beverages'})"
0.005075384385729213,"frozenset({'Other', 'Beverages', 'Household & Personal Care'})"
0.005299298402746679,"frozenset({'Packaged Foods', 'Beverages', 'Household & Personal Care'})"
0.0373936408419167,"frozenset({'Packaged Foods', 'Other', 'Beverages'})"
0.01593521421107628,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Household & Personal Care'})"
0.09445439617853411,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Other'})"
0.09837289147633975,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Packaged Foods'})"
0.016345723242274967,"frozenset({'Fresh Foods', 'Other', 'Household & Personal Care'})"
0.017539931333034782,"frozenset({'Fresh Foods', 'Packaged Foods', 'Household & Personal Care'})"
0.10744140916554709,"frozenset({'Packaged Foods', 'Fresh Foods', 'Other'})"
0.014367816091954023,"frozenset({'Frozen & Refrigerated Items', 'Other', 'Household & Personal Care'})"
0.015114196148678908,"frozenset({'Frozen & Refrigerated Items', 'Packaged Foods', 'Household & Personal Care'})"
0.09195402298850575,"frozenset({'Frozen & Refrigerated Items', 'Other', 'Packaged Foods'})"
0.015711300194058815,"frozenset({'Packaged Foods', 'Other', 'Household & Personal Care'})"
0.012315270935960592,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Other', 'Beverages'})"
0.0125765039558143,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Packaged Foods', 'Beverages'})"
0.013733393043737871,"frozenset({'Packaged Foods', 'Fresh Foods', 'Other', 'Beverages'})"
0.011755485893416929,"frozenset({'Frozen & Refrigerated Items', 'Other', 'Packaged Foods', 'Beverages'})"
0.005261979399910435,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Other', 'Household & Personal Care'})"
0.006045678459471563,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Packaged Foods', 'Household & Personal Care'})"
0.03911031497238394,"frozenset({'Frozen & Refrigerated Items', 'Fresh Foods', 'Other', 'Packaged Foods'})"
0.0054858934169279,"frozenset({'Packaged Foods', 'Fresh Foods', 'Other', 'Household & Personal Care'})"
0.005560531422600388,"frozenset({'Frozen & Refrigerated Items', 'Other', 'Packaged Foods', 'Household & Personal Care'})"
